class,data_count,data_split_count
Baibiandou,64,133
Baifan,64,133
Bailian,64,133
Baimaogen,64,133
Baiqian,64,133
Baishao,64,133
Baizhi,64,133
Baiziren,64,133
Beishashen,64,133
Bibo,64,133
Bichengqie,64,133
Biejia,64,133
Binglang,64,133
Cangzhu,64,133
Caodoukou,64,133
Chenxiang,64,133
Chuanlianzi,64,133
Chuanmuxiang,64,133
Chuanniuxi,64,133
Dafupi,64,133
Dandouchi,64,133
Daoya,64,133
Dilong,68,142
Dongchongxiacao,67,140
Fangfeng,64,133
Fanxieye,64,133
Fengfang,65,136
Gancao,64,133
Ganjiang,67,140
Gansong,64,133
Gaoben,64,133
Ghishizhi,64,133
Gouqizi,61,129
Guizhi,64,133
Gujingcao,63,132
Guya,63,132
HaiIong,66,138
Haipiaoxiao,65,136
Hehuanpi,64,133
Huangbo,64,133
Huangqi,68,142
Huangqin,64,133
Hubeibeimu,71,147
Jiangcan,73,151
Jiezi,66,138
Jiguanhua,72,150
Jindenglong,61,129
Jineijin,62,130
Jingjiesui,64,133
Jinguolan,63,132
Jinqianbaihuashe,64,133
Jiuxiangchong,64,133
Juhe,60,125
Kudiding,64,133
Laifuzi,64,133
Lianfang,64,133
Lianxu,64,133
Lianzi,64,133
Lianzixin,64,133
Lingzhi,64,133
Lizhihe,63,132
Longyanrou,59,125
Lugen,64,133
Lulutong,66,138
Maidong,60,127
Mudingxiang,70,145
Qianghuo,64,133
Qiannianjian,58,123
Qinpi,68,140
Quanxie,68,142
Rendongteng,64,133
Renshen,64,133
Roudoukou,66,138
Sangjisheng,64,133
Sangpiaoxiao,66,138
Sangshen,62,130
Shancigu,64,133
Shannai,64,133
Shanzhuyu,68,140
Shayuanzi,62,130
Shiliupi,64,133
Sigualuo,65,136
Suanzaoren,64,133
Sumu,67,140
Taizishen,68,140
Tianhuafen,64,135
Tianma,67,140
Tujingpi,64,133
Walengzi,64,133
Wujiapi,64,133
Xixin,64,133
Yinchaihu,64,133
Yiyiren,64,133
Yujin,64,135
Zhebeimu,64,133
Zhiqiao,64,133
Zhuru,64,135
Zhuyazao,67,140
Zirantong,67,140
